STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150601,9.7,9.4,8.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150602,18.8,9.4,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150603,0.0,13.3,8.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150604,0.0,14.4,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150605,0.0,15.0,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150606,2.3,19.4,11.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150607,0.0,19.4,11.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150608,0.0,24.4,11.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150609,0.0,25.6,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150610,0.0,27.8,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150611,0.0,31.1,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150612,0.0,26.1,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150613,0.0,29.4,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150614,0.0,23.3,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150615,10.2,17.2,12.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150616,0.0,21.7,13.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150617,0.0,20.6,15.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150618,0.0,24.4,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150619,0.0,30.0,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150620,1.0,23.9,14.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150621,43.7,24.4,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150622,0.0,25.0,16.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150623,0.3,31.1,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150624,0.0,28.9,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150625,0.0,27.2,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150626,0.0,22.2,15.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150627,5.1,20.0,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150628,36.3,15.0,11.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150629,0.0,23.9,11.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150630,0.0,23.9,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150701,13.7,27.8,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150702,0.0,26.7,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150703,0.0,24.4,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150704,0.0,22.2,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150705,0.0,28.3,16.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150706,0.0,26.7,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150707,0.5,28.9,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150708,0.0,31.1,20.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150709,3.8,20.6,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150710,28.4,25.0,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150711,0.0,28.3,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150712,0.0,31.7,22.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150713,0.0,25.0,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150714,0.8,27.8,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150715,0.0,27.8,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150716,0.0,20.0,15.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150717,0.0,23.9,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150718,3.6,25.6,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150719,0.0,32.2,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150720,0.0,33.3,21.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150721,0.0,27.2,21.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150722,0.0,28.9,20.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150723,0.0,27.8,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150724,0.3,27.2,18.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150725,0.0,20.6,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150726,0.0,26.1,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150727,1.5,30.0,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150728,0.0,30.0,21.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150729,0.0,33.3,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150730,0.5,32.8,23.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150731,0.0,31.7,22.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150801,0.0,32.2,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150802,0.0,31.1,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150803,0.0,32.2,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150804,12.4,31.7,18.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150805,0.0,29.4,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150806,0.0,27.8,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150807,0.0,22.8,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150808,0.0,24.4,16.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150809,0.0,22.8,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150810,0.0,28.3,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150811,21.1,22.2,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150812,0.0,29.4,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150813,0.0,27.8,18.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150814,0.0,30.0,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150815,2.0,32.8,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150816,0.0,32.2,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150817,0.0,32.8,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150818,3.6,30.6,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150819,0.0,31.1,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150820,0.0,25.6,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150821,16.0,28.3,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150822,0.0,22.8,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150823,0.5,21.7,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150824,0.0,23.9,20.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150825,0.0,27.2,19.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150826,0.0,29.4,20.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150827,0.0,27.8,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150828,0.0,23.9,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150829,0.0,27.8,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150830,0.0,31.1,20.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150831,0.0,32.2,21.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150901,0.0,26.1,20.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150902,0.0,32.8,18.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150903,0.3,27.8,21.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150904,0.0,22.2,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150905,0.0,22.8,14.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150906,0.0,27.8,16.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150907,0.0,33.9,18.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150908,5.1,35.6,22.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150909,0.0,33.9,22.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150910,4.3,25.0,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150911,16.8,22.8,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150912,0.3,21.7,15.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150913,9.7,18.9,17.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150914,0.0,22.2,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150915,0.0,28.9,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150916,0.0,27.2,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150917,0.0,31.7,17.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150918,0.0,29.4,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150919,0.0,26.1,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150920,0.0,23.9,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150921,0.0,18.9,11.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150922,0.0,20.0,13.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150923,0.0,20.0,12.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150924,0.0,23.3,14.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150925,0.0,18.9,12.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150926,0.0,17.2,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150927,0.0,17.8,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150928,0.0,25.6,13.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150929,1.0,28.9,18.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20150930,62.5,25.6,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151001,0.0,15.0,12.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151002,2.0,12.2,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151003,0.3,12.2,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151004,0.0,13.3,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151005,0.0,16.1,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151006,0.0,17.8,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151007,0.0,22.2,11.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151008,0.0,16.7,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151009,8.6,22.2,11.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151010,0.0,16.1,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151011,0.0,20.0,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151012,0.0,24.4,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151013,3.0,22.2,12.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151014,0.0,20.0,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151015,0.0,16.7,8.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151016,0.0,16.1,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151017,0.0,13.3,4.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151018,0.0,8.3,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151019,0.0,8.9,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151020,0.0,18.9,7.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151021,1.8,16.1,11.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151022,0.0,22.8,11.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151023,0.0,15.0,4.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151024,0.0,9.4,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151025,0.8,17.2,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151026,0.0,11.1,6.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151027,0.0,12.2,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151028,9.1,18.3,5.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151029,18.5,23.9,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151030,0.0,16.1,5.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151031,0.0,11.1,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151101,0.0,16.7,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151102,0.0,17.8,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151103,0.0,22.8,8.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151104,0.0,15.6,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151105,0.0,24.4,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151106,0.0,22.8,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151107,0.0,20.6,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151108,0.0,13.3,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151109,0.0,15.6,5.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151110,1.8,11.7,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151111,13.7,10.0,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151112,1.0,13.9,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151113,0.3,15.0,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151114,0.0,8.3,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151115,0.0,12.2,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151116,0.0,16.1,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151117,0.0,7.2,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151118,0.0,8.9,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151119,0.0,12.8,6.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151120,21.8,16.1,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151121,0.0,8.9,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151122,7.6,9.4,2.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151123,1.0,5.6,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151124,0.0,6.7,-1.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151125,0.0,6.7,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151126,0.0,15.0,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151127,0.0,17.8,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151128,5.3,15.6,5.0
